,meal_id,item_name,vegetarian,category,price,Chef_chef_id,description,type,
0,1,Paneer Tikka,veg,Starter,550.0,103,Marinated paneer cubes grilled with spices and served with chutney.,starter,
1,2,Vegetable Samosa,veg,Starter,200.5,102,Deep-fried pastry filled with spiced potatoes and peas.,snack,
2,3,Onion Bhaji,veg,Starter,250.75,102,Spiced onion fritters made with gram flour and deep-fried.,snack,
3,4,Hara Bhara Kebab,veg,Starter,325.2,102,Vegetable and spinach patties spiced and pan-fried.,starter,
4,5,Gobi Manchurian,veg,Starter,400.0,101,Cauliflower florets fried and tossed in Indo-Chinese sauce.,starter,
5,6,Crispy Corn,veg,Starter,280.9,102,Crispy fried corn kernels seasoned with spices.,snack,
6,7,Dahi Ke Kebab,veg,Starter,450.3,103,Soft kebabs made from hung curd and mild spices.,starter,
7,8,Aloo Tikki,veg,Starter,220.1,103,Shallow-fried potato patties spiced with herbs.,starter,
8,9,Chicken Tikka,non-veg,Starter,600.0,102,Juicy chicken chunks marinated in spices and grilled.,starter,
9,10,Seekh Kebab,non-veg,Starter,520.45,103,Minced meat skewers spiced and cooked in a tandoor.,starter,
10,11,Fish Amritsari,non-veg,Starter,710.8,103,Batter-fried fish marinated with Amritsari spices.,starter,
11,12,Prawn Fry,non-veg,Starter,680.15,101,Spiced prawns shallow fried until crispy.,starter,
12,13,Mutton Shammi Kebab,non-veg,Starter,770.0,103,Minced mutton patties spiced and pan-fried.,starter,
13,14,Chicken 65,non-veg,Starter,580.6,102,Spicy deep-fried chicken bites from South India.,starter,
14,15,Chilli Chicken,non-veg,Starter,650.75,102,Chicken pieces tossed in spicy Indo-Chinese sauce.,starter,
15,16,Tandoori Chicken,non-veg,Starter,800.0,101,"Whole chicken marinated in yogurt and spices, roasted in a tandoor.",starter,
16,17,Dal Makhani,veg,Main Course,350.5,102,Creamy lentil dish cooked slowly with butter and spices.,dal,
17,18,Palak Paneer,veg,Main Course,400.0,103,Paneer cubes cooked in spinach-based gravy.,sabzi,
18,19,Chole Bhature,veg,Main Course,280.0,102,Chickpeas served with deep-fried fluffy bread.,sabzi,
19,20,Malai Kofta,veg,Main Course,490.9,101,Paneer and potato dumplings in rich tomato-cream gravy.,sabzi,
20,21,Aloo Gobi,veg,Main Course,220.3,101,Potato and cauliflower curry spiced with turmeric and cumin.,sabzi,
21,22,Baingan Bharta,veg,Main Course,310.6,101,Smoky mashed roasted eggplant cooked with onions and spices.,sabzi,
22,23,Bhindi Masala,veg,Main Course,275.5,102,Okra stir-fried with onions and Indian spices.,sabzi,
23,24,Navratan Korma,veg,Main Course,530.0,101,"Rich curry made with mixed vegetables, nuts, and cream.",sabzi,
24,25,Butter Chicken,non-veg,Main Course,750.25,103,Chicken cooked in creamy tomato-based sauce.,sabzi,
25,26,Rogan Josh,non-veg,Main Course,820.7,103,Slow-cooked mutton curry from Kashmir with aromatic spices.,sabzi,
26,27,Goan Fish Curry,non-veg,Main Course,690.0,101,Goan-style tangy fish curry with coconut and spices.,sabzi,
27,28,Chicken Korma,non-veg,Main Course,780.45,103,Mildly spiced chicken curry with creamy gravy.,sabzi,
28,29,Hyderabadi Biryani,non-veg,Main Course,880.1,102,Fragrant Hyderabadi rice dish cooked with meat and spices.,rice,
29,30,Keema Matar,non-veg,Main Course,610.55,102,Minced mutton curry cooked with green peas.,sabzi,
30,31,Chicken Tikka Masala,non-veg,Main Course,760.3,103,Grilled chicken tikka pieces simmered in spicy tomato gravy.,sabzi,
31,32,Laal Maas,non-veg,Main Course,920.0,101,Fiery Rajasthani mutton curry with red chillies.,sabzi,
32,33,Tandoori Roti,veg,Bread,50.0,101,Whole wheat flatbread cooked on a tandoor.,roti/bread,
33,34,Butter Naan,veg,Bread,75.0,102,Soft flatbread brushed with butter.,roti/bread,
34,35,Garlic Naan,veg,Bread,85.0,103,Naan bread flavored with garlic and butter.,roti/bread,
35,36,Jeera Rice,veg,Rice,150.0,102,Fragrant basmati rice flavored with cumin seeds.,rice,
36,37,Chicken Biryani,non-veg,Rice,550.0,101,Aromatic rice dish cooked with chicken and spices.,rice,
37,38,Mutton Biryani,non-veg,Rice,650.0,103,Rich biryani made with marinated mutton and spices.,rice,
38,39,Gulab Jamun,veg,Dessert,120.0,102,Deep-fried milk-solid dumplings soaked in sugar syrup.,sweet,
39,40,Gajar Ka Halwa,veg,Dessert,140.0,101,"Grated carrot dessert cooked with milk, sugar, and ghee.",sweet,
40,41,Kheer,veg,Dessert,110.0,103,Creamy rice pudding flavored with cardamom and nuts.,sweet,
